2019-08-09 05:15:52,079 p=1 u=root |  ERROR! the playbook: init.yaml could not be found
2019-08-09 05:27:58,214 p=1 u=root |  PLAY RECAP ****************************************************************************************************************************
2019-08-09 05:27:58,214 p=1 u=root |  10.1.10.11                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:58,214 p=1 u=root |  10.1.10.12                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:58,214 p=1 u=root |  10.1.10.13                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:58,215 p=1 u=root |  10.1.10.21                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:58,215 p=1 u=root |  10.1.10.22                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:58,215 p=1 u=root |  10.1.10.23                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:58,215 p=1 u=root |  10.1.10.31                 : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:58,216 p=1 u=root |  10.1.10.33                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:35:11,790 p=1 u=root |  ERROR! Syntax Error while loading YAML.
  did not find expected key

The error appears to be in '/ansible/playbooks/init.yml': line 23, column 4, but may
be elsewhere in the file depending on the exact syntax problem.

The offending line appears to be:


   - name: Download and Install DO RPM
   ^ here

2019-08-09 05:37:46,344 p=1 u=root |  PLAY [Download and Install RPMs] ******************************************************************************************************
2019-08-09 05:37:46,377 p=1 u=root |  TASK [Gathering Facts] ****************************************************************************************************************
2019-08-09 05:37:53,478 p=1 u=root |  ok: [10.1.10.13]
2019-08-09 05:37:54,484 p=1 u=root |  ok: [10.1.10.21]
2019-08-09 05:37:55,039 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:37:55,147 p=1 u=root |  ok: [10.1.10.12]
2019-08-09 05:37:57,509 p=1 u=root |   [WARNING]: Unhandled error in Python interpreter discovery for host 10.1.10.31: Failed to connect to the host via ssh: ssh: connect
to host 10.1.10.31 port 22: Host is unreachable

2019-08-09 05:37:58,615 p=1 u=root |  ok: [10.1.10.22]
2019-08-09 05:37:59,747 p=1 u=root |  ok: [10.1.10.23]
2019-08-09 05:38:00,513 p=1 u=root |  fatal: [10.1.10.31]: UNREACHABLE! => {"changed": false, "msg": "Data could not be sent to remote host \"10.1.10.31\". Make sure this host can be reached over ssh: ssh: connect to host 10.1.10.31 port 22: Host is unreachable\r\n", "unreachable": true}
2019-08-09 05:38:02,519 p=1 u=root |  ok: [10.1.10.33]
2019-08-09 05:38:02,522 p=1 u=root |  NO MORE HOSTS LEFT ********************************************************************************************************************
2019-08-09 05:38:02,529 p=1 u=root |  PLAY RECAP ****************************************************************************************************************************
2019-08-09 05:38:02,530 p=1 u=root |  10.1.10.11                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:38:02,531 p=1 u=root |  10.1.10.12                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:38:02,531 p=1 u=root |  10.1.10.13                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:38:02,531 p=1 u=root |  10.1.10.21                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:38:02,532 p=1 u=root |  10.1.10.22                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:38:02,532 p=1 u=root |  10.1.10.23                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:38:02,532 p=1 u=root |  10.1.10.31                 : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:38:02,533 p=1 u=root |  10.1.10.33                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:41:21,271 p=1 u=root |  PLAY [Download and Install RPMs] ******************************************************************************************************
2019-08-09 05:41:21,344 p=1 u=root |  TASK [Gathering Facts] ****************************************************************************************************************
2019-08-09 05:41:28,368 p=1 u=root |  ok: [10.1.10.22]
2019-08-09 05:41:28,915 p=1 u=root |  ok: [10.1.10.13]
2019-08-09 05:41:30,110 p=1 u=root |  ok: [10.1.10.21]
2019-08-09 05:41:30,292 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:41:30,726 p=1 u=root |  ok: [10.1.10.12]
2019-08-09 05:41:32,029 p=1 u=root |   [WARNING]: Unhandled error in Python interpreter discovery for host 10.1.10.31: Failed to connect to the host via ssh: ssh: connect
to host 10.1.10.31 port 22: Host is unreachable

2019-08-09 05:41:34,249 p=1 u=root |  ok: [10.1.10.23]
2019-08-09 05:41:35,241 p=1 u=root |  ok: [10.1.10.33]
2019-08-09 05:41:35,244 p=1 u=root |  fatal: [10.1.10.31]: UNREACHABLE! => {"changed": false, "msg": "Data could not be sent to remote host \"10.1.10.31\". Make sure this host can be reached over ssh: ssh: connect to host 10.1.10.31 port 22: Host is unreachable\r\n", "unreachable": true}
2019-08-09 05:41:35,246 p=1 u=root |  NO MORE HOSTS LEFT ********************************************************************************************************************
2019-08-09 05:41:35,250 p=1 u=root |  PLAY RECAP ****************************************************************************************************************************
2019-08-09 05:41:35,251 p=1 u=root |  10.1.10.11                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:41:35,252 p=1 u=root |  10.1.10.12                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:41:35,253 p=1 u=root |  10.1.10.13                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:41:35,254 p=1 u=root |  10.1.10.21                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:41:35,255 p=1 u=root |  10.1.10.22                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:41:35,256 p=1 u=root |  10.1.10.23                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:41:35,257 p=1 u=root |  10.1.10.31                 : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:41:35,258 p=1 u=root |  10.1.10.33                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
